TRADER,TRADE_COUNT,PERP_TRADE_COUNT,SPOT_TRADE_COUNT,SHORT_COUNT,LONG_COUNT,AVG_USD_TRADE_SIZE,TOTAL_USD_VOLUME,TOTAL_FEE_AMOUNT,DEFI_INTERACTIONS,Cluster
0xbf7b02df420520d07c0aa1f67706f142b2bc0a0a,1,1,0,0,1,122.254156431,122.254156431,0.1221564313,0,0
0x550d2f07a56a43ff65df6cad6c62f58283bf4cd9,1,0,1,1,0,123.7938,123.7938,0.1062,0,0
0xb93b29fa7e29810fe095e33f3662d99aa8775697,2,0,2,2,0,62.07918,124.15836,0.09764,1,2
0xff8850989681b1163cbaf0b0f6b719c1c663dc25,23855,24421,0,12430,11991,896.883923847,21902802.3042739,1266.106236635,0,0
0xff8850989681b1163cbaf0b0f6b719c1c663dc25,47014,49140,0,24430,24710,1056.695778725,51926030.5665243,5091.062103651,0,0
0xff8850989681b1163cbaf0b0f6b719c1c663dc25,2,2,0,1,1,62.222701566,124.445403131,0.2489111314,0,0
0xc4b9ef0814552578d8ca9ebc55cc7a1236112c89,2,2,0,1,1,62.363806555,124.727613109,0.249477109,0,0
0x1c93640a76d62ddadd564d193ee1a0667dd470a7,2,2,0,1,1,62.885992777,125.771985555,0.2515615547,0,0
0x083aa96cf2121cff0cbd8f3ae6e012c9eda83800,2,2,0,1,1,63.020485604,126.040971208,0.2521072078,0,0
0x6752e7394ef48a52a6778bb9226072028054cae8,11,4,8,6,6,10.522268798,126.267225572,0.8543755721,0,0
0xb7fcaf554584f7121f6c6df306f0b33114a9b8fc,2,2,0,1,1,63.557491712,127.114983424,0.2542554239,0,0
0xd66d7761aefda226fe71c9892f08a7f65f67132e,2,2,0,1,1,64.777857364,129.555714729,0.1295707285,0,0
0x0f514489b5543294c2cbb3a02c90bdc804a88a1e,2,2,0,1,1,64.791241834,129.582483668,0.2591956679,0,0
0xd8066606f4c39e0802e2cd78cad1b05591bcb1dd,4,4,0,2,2,32.467751989,129.871007954,0.5195359544,0,0
0xc410ece0cf18db49fe399cfe8c3323ec7cfa2d0a,2,2,0,1,1,65.102033025,130.20406605,0.26043405,0,0
0x70c193695cde1a3d1c15a01476041f0f0051bb02,2,2,0,1,1,65.384096489,130.768192978,0.2615849778,0,0
0x70c193695cde1a3d1c15a01476041f0f0051bb02,96,101,0,49,52,317.493183182,32066.811501398,11.078775198,0,0
0x9b755fcc3e51c3c02e8d16da349fba0c55573c16,2,2,0,1,1,65.631006256,131.262012511,0.5251005113,0,0
0x7f49d086e926846e71870d6a82010fd8dbb6dd1c,2,2,0,1,1,66.039674286,132.079348573,0.5283805729,0,0
0x795d64e1585def2b83784e7f55129ae86c6ed416,2,2,0,1,1,66.175390425,132.35078085,0.2647208502,0,0
0x3752c284a7438f4d6356f92077bd55feaf9cd930,2,0,2,0,2,66.36025105,132.7205021,0.3105021004,0,0
0xbcda699dd8986c8f1aca3527e4d0e89288cc5aee,2,2,0,1,1,66.744072648,133.488145297,0.1898220967,0,0
0x67035193a8122da313b2d6ac8e30de4dec580345,2,2,0,1,1,66.785604329,133.571208658,0.5343686577,0,0
0xf5cdf73c3254775b2eac2d9185fe2eb5700b5fa5,2,2,0,1,1,66.883890317,133.767780635,0.2675646345,0,0
0x27cb9ea9dfc78e2dcf208d0745ca4e2ed699472c,1,1,0,0,1,133.971864773,133.971864773,0.133864773,0,0
0x20240808e9b8247d4513d125b9707bfb9afa17a0,2,2,0,1,1,67.014544409,134.029088817,0.2680848174,0,0
0x43cccf843984d19a00506674b56b5dc9092ecbc2,2,2,0,1,1,67.150371497,134.300742995,0.537206995,0,0
0x151f49e1974315f19ce8c1d7313125b5f646ed78,2,2,0,1,1,67.192044494,134.384088988,0.2687929882,0,0
0x61bd9646106c5041899b7ef2384af5ed41b873b1,2,2,0,1,1,67.349440465,134.698880931,0.2694249306,0,0
0x69f5280e712408f85d5e5fca6710144e1492abcc,2,2,0,1,1,67.419166001,134.838332002,0.2696840016,0,0
0x97adb438057b88efa028070c633c8076834b2d29,3,3,0,2,1,45.08904104,135.267123119,0.406067119,0,0
0x2aad70e31db6c2ae776c90ab12d7cd2c270b11b5,2,2,0,1,1,67.68044809,135.360896179,0.4108961792,0,0
0x9fad9296d28f65776e8f1f5ec7ff28b535e41eeb,2,2,0,1,1,67.789538112,135.579076224,0.271164224,0,0
0x00ffc1add371746efa246688b21893353b01438e,2,2,0,1,1,67.932508589,135.865017177,0.2717571774,0,0
0x16610bfdbbe34985fc8a1ff63993ff783eb01d56,2,2,0,1,1,68.647239485,137.294478971,0.549230971,0,0
0x6a8b176b58759aadefb388c1e52adcb36199fe6f,3,3,0,2,1,45.88965079,137.66895237,0.2107483701,0,0
0x8ef1904ec369227c905e90d933c8a8675dfe55b0,2,2,0,1,1,69.101055614,138.202111228,0.4241672278,0,0
0x1169a721e2e2052ac3768ca3a6e120b745247097,1,0,1,1,0,138.38374,138.38374,0.16626,0,0
0xa12b710bf41ab628632f0ff859d98f7491a67041,2,2,0,1,1,69.288881847,138.577763695,0.2771836947,0,0
0xc842da4ed5fe17d4b5b12465f4a6052cab17c652,2,2,0,1,1,69.377133339,138.754266679,0.2775186785,0,0
0xc46d1c166c9ff905a4ee25d622d79bf2bb88adf9,2,2,0,1,1,69.405113894,138.810227788,0.2776477876,0,0
0x25305774bb652237b1a31cea78dbea16644553a5,2,2,0,1,1,69.603908963,139.207817926,0.278441926,0,0
0x7fe30675d9ccb3490a0e5470b661d2284c0124e3,2,2,0,1,1,69.744462594,139.488925188,0.5579571882,0,0
0x37f7a78ef4c8e39a87cf85755a9b81c4364b5b41,2,2,0,1,1,69.882402968,139.764805936,0.2795579364,0,0
0xe7eb67a5e98e5e412f220cd34143893500ecf076,2,2,0,1,1,70.017497005,140.034994009,0.2800980092,0,0
0x14b8d67eaf3c4161f168f7b54edb3f472716c9ea,2,2,0,1,1,70.021972003,140.043944006,0.280116006,0,0
0xb7cb67aa5ceec046a36b596a6c0961019254e1a6,2,2,0,1,1,70.345040074,140.690080149,0.2814081488,0,0
0xc4e75a1ca2eb5ab0596f34e0ef934faef9a5c340,2,5,0,1,4,1497.480724809,7487.403624045,1.497630445,0,0
